2.5 -5.7598581408879514
3.0 -4.7998817840732935
3.1 -4.645046887812865
3.2 -4.499889172568712
3.3 -4.363528894612085
3.4 -4.235189809476435
3.5 -4.114184386348537
3.6 -3.9999014867277443
3.7 -3.8917960411405077
3.8 -3.789380355847337
3.9 -3.6922167569794566
4.0 -3.59991133805497
4.1 -3.512108622492654
4.2 -3.4284869886237805
4.5 -3.1999211893821955
4.7 -3.063754330259549
5.0 -2.8799290704439757
5.2 -2.769162567734592
5.5 -2.618117336767251
5.7 -2.5262535705648914
6.0 -2.3999408920366467
6.5 -2.2153300541876737
7.0 -2.0570921931742685
10.0 -1.4399645352219879
15.0 -0.9599763568146586
20.0 -0.7199822676109939
30.0 -0.4799881784073293
